system,level,n_sessions,direct_answer_leakage_rate,phase_valid_rate,gps_complete_rate,stall_rate,vai_mean,math_density_mean,student_reasoning_rate_mean,autonomy_process_score_mean,token_balance_student_share_mean
Cross-Model Phi-3,Khá,24,0.375,1.0,0.041666666666666664,0.875,0.2959635865168884,0.7408643218390062,0.6546483857053319,0.643902993055555,0.4518405320918108
Cross-Model Phi-3,Trung bình,25,0.48,1.0,0.12,0.72,0.42320375541524713,0.7023694231634572,0.6166299213947696,0.6399584192025042,0.45918627792958583
GPS-Agent,Giỏi,25,0.2,0.84,0.64,0.52,0.3106328050628619,0.865787407465528,0.7692336017574448,0.6799666017050767,0.23776680619054047
GPS-Agent,Khá,25,0.0,0.72,0.64,0.36,0.3578913157660852,1.454041964041964,0.8074435564435565,0.7213337180524104,0.25859159295357786
GPS-Agent,Trung bình,25,0.08,0.8,0.72,0.4,0.2926334492564088,1.0831164113664113,0.7440072427572427,0.6891601730034129,0.2628745750860151
GPS-Agent,Yếu,25,0.08,0.64,0.48,0.36,0.34112620856156517,1.0981443001443,0.7632727272727273,0.6660997339585731,0.24853771624999743
Single-Agent,Giỏi,25,0.56,0.0,0.0,0.0,0.29164972194216326,1.2804761904761903,0.8002380952380952,0.3829719542950646,0.1938333788614143
Single-Agent,Khá,25,0.52,0.0,0.0,0.0,0.35330656432958135,0.7955714285714286,0.7195714285714285,0.3882194982252525,0.16945512752412054
Single-Agent,Trung bình,25,0.68,0.0,0.0,0.0,0.33654255771240105,1.0511428571428572,0.8005714285714286,0.3642784965709574,0.18949564358495474
Single-Agent,Yếu,25,0.4,0.0,0.0,0.0,0.3001123109491558,0.895,0.7233333333333334,0.40586141107062224,0.16380093087887
