system,x,y,spearman_rho,p_value,n
Cross-Model Phi-3,stall,vai,-0.2151035098591617,0.13773177120358307,49
Cross-Model Phi-3,stall,student_reasoning_rate,-0.20069656261219954,0.16674958198052353,49
Cross-Model Phi-3,direct_answer_leakage,vai,-0.14452570145002766,0.3217943250952928,49
Cross-Model Phi-3,phase_valid,autonomy_process_score,,,49
Cross-Model Phi-3,tutor_student_token_ratio,answer_dependency_index,0.450766323000811,0.0011526531371381843,49
GPS-Agent,stall,vai,-0.13349375800596425,0.1854735081343729,100
GPS-Agent,stall,student_reasoning_rate,-0.1043584076183637,0.3014690542132904,100
GPS-Agent,direct_answer_leakage,vai,-0.13014760854444465,0.19683885271490448,100
GPS-Agent,phase_valid,autonomy_process_score,0.6188365124313819,6.796758283363628e-12,100
GPS-Agent,tutor_student_token_ratio,answer_dependency_index,0.6223143823595684,4.792844867423367e-12,100
Single-Agent,stall,vai,,,100
Single-Agent,stall,student_reasoning_rate,,,100
Single-Agent,direct_answer_leakage,vai,-0.3608486750685754,0.00022585125674031713,100
Single-Agent,phase_valid,autonomy_process_score,,,100
Single-Agent,tutor_student_token_ratio,answer_dependency_index,0.5062815740317755,7.707356830423759e-08,100
