system,level,n_sessions,vai_mean,math_density_mean,direct_answer_leakage_rate,stall_rate,phase_validity_rate
GPS-Agent,Giỏi,25,0.3106328050628619,0.865787407465528,0.2,0.52,0.84
GPS-Agent,Khá,25,0.3578913157660852,1.454041964041964,0.0,0.36,0.72
GPS-Agent,Trung bình,25,0.2926334492564088,1.0831164113664113,0.08,0.4,0.8
GPS-Agent,Yếu,25,0.34112620856156517,1.0981443001443,0.08,0.36,0.64
Single-Agent,Giỏi,25,0.29164972194216326,1.2804761904761903,0.56,0.0,0.0
Single-Agent,Khá,25,0.35330656432958135,0.7955714285714286,0.52,0.0,0.0
Single-Agent,Trung bình,25,0.33654255771240105,1.0511428571428572,0.68,0.0,0.0
Single-Agent,Yếu,25,0.3001123109491558,0.895,0.4,0.0,0.0
Cross-Model Phi-3,Khá,24,0.2959635865168884,0.7408643218390062,0.375,0.875,1.0
Cross-Model Phi-3,Trung bình,25,0.42320375541524713,0.7023694231634572,0.48,0.72,1.0
