Student Hash,total_steps,Satisfaction (1-5),Difficulty (1-5),pct_G,pct_P,pct_S,sequence_score,cluster
a1f3b2e9c4d7,5,4.8,2.0,0.0,0.0,1.0,0.0,2
b2g4c3f0d5e8,5,5.0,2.4,0.0,0.0,1.0,0.0,2
c3h5d4g1e6f9,6,5.0,2.1666666666666665,0.0,0.0,1.0,0.0,2
d4i6e5h2f7g0,8,4.375,3.25,0.375,0.25,0.375,0.5714285714285714,0
e5j7f6i3g8h1,8,4.25,3.375,0.5,0.25,0.25,0.42857142857142855,0
f6k8g7j4h9i2,8,4.375,3.375,0.375,0.375,0.25,0.7142857142857143,0
g7l9h8k5i0j3,7,4.428571428571429,3.857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5,0
h8m0i9l6j1k4,7,4.285714285714286,3.7142857142857144,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.6666666666666666,0
i9n1j0m7k2l5,7,4.428571428571429,3.5714285714285716,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5,0
j0o2k1n8l3m6,8,4.5,3.75,0.5,0.0,0.5,0.0,1
k1p3l2o9m4n7,7,4.142857142857143,3.5714285714285716,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5,0
l2q4m3p0n5o8,6,4.5,3.5,0.5,0.3333333333333333,0.16666666666666666,0.4,0
m3r5n4q1o6p9,6,4.333333333333333,3.6666666666666665,0.5,0.3333333333333333,0.16666666666666666,0.4,0
n4s6o5r2p7q0,6,4.5,4.0,0.3333333333333333,0.16666666666666666,0.5,0.0,1
o5t7p6s3q8r1,7,4.428571428571429,3.4285714285714284,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5,0
p6u8q7t4r9s2,7,4.428571428571429,3.7142857142857144,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.5,0
q7v9r8u5s0t3,12,2.5833333333333335,4.916666666666667,0.5,0.25,0.25,0.5454545454545454,0
r8w0s9v6t1u4,11,2.909090909090909,4.7272727272727275,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.5,0
s9x1t0w7u2v5,10,2.9,4.4,0.4,0.5,0.1,0.5555555555555556,0
t0y2u1x8v3w6,9,1.6666666666666667,1.8888888888888888,0.3333333333333333,0.0,0.6666666666666666,0.0,1
